iter	MultiCrossEntropy
0	0.6806796436
1	0.6685398975
2	0.6582287494
3	0.6490693263
4	0.6398520929
5	0.631145027
6	0.6229549231
7	0.6150183171
8	0.6081259235
9	0.6016735492
10	0.5963353188
11	0.5902479102
12	0.5851513273
13	0.5794239368
14	0.5750189163
15	0.5699419171
16	0.5656001402
17	0.5616245454
18	0.5577631112
19	0.5543087515
20	0.5511795551
21	0.5467545821
22	0.5428158556
23	0.5392674295
24	0.536129645
25	0.5331883131
26	0.5308222962
27	0.5276603509
28	0.5241264843
29	0.5219791439
30	0.5199445148
31	0.5173036964
32	0.5147144332
33	0.5114043674
34	0.5091008302
35	0.5072526508
36	0.5056210172
37	0.5025974494
38	0.5002908436
39	0.4988034061
40	0.4962588728
41	0.4944405218
42	0.4927434174
43	0.4911930833
44	0.4887704185
45	0.4873480217
46	0.4858119874
47	0.4841244962
48	0.4829338609
49	0.4815228287
50	0.4799453332
51	0.4782310408
52	0.477227559
53	0.4758891978
54	0.474612427
55	0.4732257745
56	0.4714770361
57	0.4701556975
58	0.4686860837
59	0.4677038545
60	0.466331603
61	0.4651659189
62	0.4640447598
63	0.4631111628
64	0.4617303728
65	0.4609205135
66	0.4596442199
67	0.4582150577
68	0.457311368
69	0.4569394769
70	0.455958238
71	0.4550645037
72	0.4539289528
73	0.4532653251
74	0.452401825
75	0.4515779447
76	0.4505034406
77	0.4498368445
78	0.4485628153
79	0.4479363619
80	0.4471335109
81	0.4463665042
82	0.4455828788
83	0.4444969723
84	0.4436287682
85	0.4432019321
86	0.4424815251
87	0.4418691982
88	0.4413371855
89	0.4406581694
90	0.4402289917
91	0.4394997473
92	0.4388449058
93	0.4384648949
94	0.4380569486
95	0.437376479
96	0.4366595761
97	0.4362164262
98	0.4357456903
99	0.4355056452
100	0.4349031167
101	0.434272513
102	0.4336442772
103	0.4329332977
104	0.431862536
105	0.4310904581
106	0.4305210219
107	0.4301094459
108	0.4297873855
109	0.428890943
110	0.4282926127
111	0.4276929993
112	0.4272023546
113	0.4265574872
114	0.4259742515
115	0.4254721294
116	0.4249295905
117	0.4247125297
118	0.4241893806
119	0.4236020749
120	0.4229209616
121	0.4225706487
122	0.4221174235
123	0.4216424221
124	0.4213548262
125	0.4211977852
126	0.4210215339
127	0.4208379681
128	0.4204474943
129	0.4196886224
130	0.4192634179
131	0.4187687346
132	0.4185880477
133	0.4182443109
134	0.4180146806
135	0.4172935377
136	0.4169489892
137	0.41653233
138	0.4162563135
139	0.4158464443
140	0.4151288559
141	0.4145314929
142	0.4141807961
143	0.4138172705
144	0.4136374009
145	0.413291909
146	0.4130431107
147	0.4125791448
148	0.4123158039
149	0.4118254777
150	0.4115921445
151	0.4113181002
152	0.4107292579
153	0.4104097391
154	0.4098978743
155	0.4096076035
156	0.4089918784
157	0.4084897677
158	0.4082985783
159	0.4078743212
160	0.4076842423
161	0.4071708609
162	0.4069081189
163	0.4064908808
164	0.4060526317
165	0.4057091969
166	0.4054395748
167	0.4049008274
168	0.4045914742
169	0.4042608468
170	0.4039694192
171	0.4035160438
172	0.4031593473
173	0.4028638821
174	0.4025779205
175	0.402381266
176	0.401777332
177	0.4016331407
178	0.4014786731
179	0.4011355649
180	0.4008252193
181	0.4003056251
182	0.3997310088
183	0.3994210263
184	0.3990673053
185	0.3989359572
186	0.39880748
187	0.3986787541
188	0.3983848324
189	0.3980835622
190	0.3978623811
191	0.3975728569
192	0.3971996481
193	0.3969856625
194	0.3969008891
195	0.3965281723
196	0.3963249603
197	0.3959589963
198	0.3957070438
199	0.3952581042
200	0.394951799
201	0.3946481924
202	0.3944745591
203	0.3939765867
204	0.3937341924
205	0.3935077904
206	0.3932770501
207	0.3931650343
208	0.3930852303
209	0.3928114734
210	0.3926266626
211	0.3924820553
212	0.3920617124
213	0.3917139888
214	0.3912085304
215	0.3909986867
216	0.3906208337
217	0.3904625662
218	0.3903403195
219	0.3900739589
220	0.3896423894
221	0.3892674648
222	0.3889608641
223	0.3887067211
224	0.3884209356
225	0.3880562684
226	0.3878036314
227	0.3876071199
228	0.3874379798
229	0.3872212869
230	0.38698506
231	0.3865894044
232	0.386501535
233	0.3861040803
234	0.3859405464
235	0.3858509688
236	0.3854224177
237	0.3850993561
238	0.3849966924
239	0.3847389048
240	0.3846991235
241	0.3845065852
242	0.3842237536
243	0.3840538114
244	0.3837381796
245	0.3835897152
246	0.3833994003
247	0.3831000368
248	0.3825941614
249	0.382304076
250	0.3820412927
251	0.381918177
252	0.3818149818
253	0.3814553363
254	0.3813081289
255	0.3810825284
256	0.3809614823
257	0.3806084748
258	0.3803612418
259	0.3800413368
260	0.3798925034
261	0.3795419887
262	0.3794133344
263	0.3791827085
264	0.3786613039
265	0.3783852633
266	0.3781251624
267	0.3779282189
268	0.3777502281
269	0.377561798
270	0.3770115494
271	0.3767079089
272	0.376417203
273	0.3761848786
274	0.3759353551
275	0.3757749545
276	0.3754491306
277	0.3751729636
278	0.3750603554
279	0.3748522085
280	0.3746404148
281	0.3744776345
282	0.3741745143
283	0.3738750178
284	0.3734981383
285	0.3733028875
286	0.3729892896
287	0.3727093709
288	0.3725266261
289	0.3721776494
290	0.3720198315
291	0.3718726404
292	0.3714642528
293	0.3712910024
294	0.3710380663
295	0.370850257
296	0.3706668237
297	0.370402509
298	0.3699755037
299	0.3696380991
300	0.3694456464
301	0.3692568626
302	0.3689417825
303	0.3687017775
304	0.3682722964
305	0.3679784027
306	0.3678036914
307	0.3676581787
308	0.3673907278
309	0.3670925137
310	0.3668059083
311	0.3666494079
312	0.366458686
313	0.3662339944
314	0.3660233162
315	0.3658534802
316	0.3654231579
317	0.3650311992
318	0.3648029791
319	0.3645277951
320	0.364200402
321	0.3639436652
322	0.3636026002
323	0.3633301204
324	0.3631066196
325	0.3629835184
326	0.3627281428
327	0.3626133534
328	0.3624188399
329	0.362240572
330	0.3620584485
331	0.361941658
332	0.3616404085
333	0.361353645
334	0.3610593022
335	0.3608013414
336	0.3606215693
337	0.3603239773
338	0.3601167272
339	0.3599628536
340	0.3597621205
341	0.3596797716
342	0.3595293812
343	0.3593897751
344	0.3591930263
345	0.3590788316
346	0.3588919227
347	0.3587015143
348	0.3585753116
349	0.3582971296
350	0.3580960625
351	0.3578938409
352	0.3577766968
353	0.3574264283
354	0.357201049
355	0.3570249829
356	0.3569645051
357	0.3565421868
358	0.3563770012
359	0.3561404563
360	0.3558241633
361	0.3556538466
362	0.3555521127
363	0.3553544984
364	0.3553091065
365	0.3550950326
366	0.3549380426
367	0.354636037
368	0.3543986806
369	0.3543909115
370	0.3541664772
371	0.354004239
372	0.3537034843
373	0.3535355472
374	0.3532281599
375	0.3530015613
376	0.3528880252
377	0.3525945249
378	0.3521962628
379	0.3520145254
380	0.3517641045
381	0.3514878999
382	0.351367954
383	0.3512175701
384	0.3510792356
385	0.3509396431
386	0.3505767201
387	0.3502674557
388	0.350185323
389	0.3501197944
390	0.349958901
391	0.3497656275
392	0.3494504098
393	0.3493760917
394	0.3492093023
395	0.3491972556
396	0.3488797067
397	0.3486926968
398	0.3485074477
399	0.3484622067
400	0.3483435738
401	0.3481785584
402	0.3480517783
403	0.3480171099
404	0.3478136243
405	0.34761182
406	0.3474576659
407	0.3473024132
408	0.3470440761
409	0.3468246368
410	0.3466368526
411	0.3465102021
412	0.3463520243
413	0.3462362106
414	0.3460341351
415	0.3458522191
416	0.3456342031
417	0.3455154452
418	0.3453906381
419	0.3452262405
420	0.3450749718
421	0.3448366632
422	0.3445593384
423	0.3443803898
424	0.3441455632
425	0.3439899104
426	0.3436516602
427	0.3434783245
428	0.343243158
429	0.3430889177
430	0.3429965224
431	0.3428658103
432	0.3427317986
433	0.3425904515
434	0.3424043609
435	0.342206719
436	0.3420381965
437	0.3418505886
438	0.3416517004
439	0.341419897
440	0.3414033375
441	0.3410898188
442	0.3408608415
443	0.3406804218
444	0.3403805432
445	0.3401557031
446	0.3400443988
447	0.3398492954
448	0.3396964993
449	0.3395456893
450	0.3393358716
451	0.3389361166
452	0.3386400106
453	0.338465563
454	0.338330029
455	0.3382090418
456	0.3379946806
457	0.3377566083
458	0.3375489871
459	0.3374946335
460	0.3372496644
461	0.3370830398
462	0.3369674689
463	0.3368811885
464	0.3367239179
465	0.3365640349
466	0.3364682819
467	0.3363326313
468	0.3361098468
469	0.3360151027
470	0.3358451262
471	0.3357801466
472	0.3355945505
473	0.3354951646
474	0.335408734
475	0.3352756106
476	0.3351823743
477	0.3351649351
478	0.3351331818
479	0.3350185203
480	0.3348253862
481	0.3344761704
482	0.3344074156
483	0.3342358167
484	0.3341336656
485	0.3339333427
486	0.3338082776
487	0.3336725539
488	0.3335174178
489	0.333448585
490	0.3333252532
491	0.3332281019
492	0.3331295685
493	0.3328752793
494	0.3327153492
495	0.3325359455
496	0.3324132623
497	0.3321774812
498	0.3320523235
499	0.3316862873
500	0.331588035
501	0.3312871618
502	0.3312480083
503	0.3310082403
504	0.3308137503
505	0.3307988248
506	0.3305788957
507	0.330460837
508	0.3303394384
509	0.3302012183
510	0.3301608403
511	0.3299926081
512	0.3298125259
513	0.3297361348
514	0.3295703744
515	0.3294756594
516	0.3293100865
517	0.3292077165
518	0.3290516296
519	0.3287752611
520	0.3286472255
521	0.3285816953
522	0.3284776744
523	0.3282254171
524	0.3281148674
525	0.3280167723
526	0.3277986914
527	0.3276957471
528	0.3275418222
529	0.3273691939
530	0.3271574044
531	0.3269865209
532	0.3268545995
533	0.3267491605
534	0.3266563504
535	0.3265228498
536	0.3263868616
537	0.3263147632
538	0.3261462337
539	0.32594303
540	0.3258122147
541	0.325684374
542	0.3255313894
543	0.3254870939
544	0.325345009
545	0.325245491
546	0.325132002
547	0.3250499925
548	0.324893899
549	0.3246563706
550	0.3244953127
551	0.3243373054
552	0.3240765589
553	0.3239994384
554	0.3238399192
555	0.3237754415
556	0.3236724674
557	0.3234821927
558	0.323410823
559	0.3231837035
560	0.3229520435
561	0.322891619
562	0.3226740505
563	0.3225416
564	0.3223735089
565	0.3223086132
566	0.3221851252
567	0.3221587051
568	0.3219881871
569	0.3219097472
570	0.3218089814
571	0.3216364538
572	0.3215216123
573	0.321423978
574	0.321336979
575	0.3212496176
576	0.3212240693
577	0.3211039182
578	0.3210392348
579	0.3208767173
580	0.3207539947
581	0.3205971488
582	0.3204524912
583	0.320250467
584	0.3201624665
585	0.3200725139
586	0.3199945497
587	0.3199081415
588	0.3196130747
589	0.3195060944
590	0.3193969326
591	0.3193080193
592	0.319256587
593	0.3191355752
594	0.319091995
595	0.3189209821
596	0.3188344433
597	0.3187577797
598	0.3185783997
599	0.3184406886
600	0.3183469277
601	0.3182514073
602	0.3181284087
603	0.3179564788
604	0.3177998998
605	0.3177305138
606	0.3176069131
607	0.3174612515
608	0.3172936786
609	0.3172058225
610	0.3171161528
611	0.3169928798
612	0.3168622628
613	0.3167876005
614	0.316645966
615	0.3166198004
616	0.3164654444
617	0.3164493471
618	0.3163172337
619	0.3161874584
620	0.316109003
621	0.3160434928
622	0.3159718459
623	0.3158487668
624	0.3157707146
625	0.3155808686
626	0.3154745609
627	0.3153009239
628	0.3151683481
629	0.3150097799
630	0.314982109
631	0.3148274318
632	0.3147794463
633	0.3146714526
634	0.3145999359
635	0.3145077654
636	0.314420006
637	0.314303196
638	0.3142923635
639	0.3142876309
640	0.3141935407
641	0.3140063276
642	0.3139325616
643	0.3138356119
644	0.3137698365
645	0.3137052192
646	0.3136192975
647	0.3135249134
648	0.3133520526
649	0.3132109302
650	0.3130337645
651	0.3128180749
652	0.312813065
653	0.3126589947
654	0.3125858295
655	0.3125006399
656	0.3123633883
657	0.3122276505
658	0.312108736
659	0.31197976
660	0.3119072755
661	0.3118266819
662	0.3116669348
663	0.3116017002
664	0.3115000952
665	0.3114182872
666	0.3112141831
667	0.3110562635
668	0.3108767494
669	0.3107414331
670	0.3105586108
671	0.3103635369
672	0.3102420725
673	0.3101122027
674	0.3100036348
675	0.3098337244
676	0.3097533096
677	0.3096567707
678	0.3094747105
679	0.3093849956
680	0.3093007351
681	0.3091143566
682	0.3088737159
683	0.3087793183
684	0.3086972267
685	0.3085572416
686	0.308475816
687	0.3083735797
688	0.3082942711
689	0.3082330571
690	0.3081387454
691	0.308041639
692	0.307946205
693	0.3077947336
694	0.3076787279
695	0.3075430675
696	0.307452801
697	0.3072899288
698	0.3071228113
699	0.3070374968
700	0.3067689054
701	0.3066580425
702	0.3064930675
703	0.3063411286
704	0.30618322
705	0.3060206507
706	0.3059322246
707	0.3058647451
708	0.3057968358
709	0.3057364801
710	0.3055985544
711	0.3055585452
712	0.3054265314
713	0.3054065771
714	0.3053321525
715	0.3052626646
716	0.3051027598
717	0.3050068706
718	0.3048821032
719	0.3047684444
720	0.3047157887
721	0.3046070588
722	0.3044563583
723	0.3043630875
724	0.3042277185
725	0.3041892731
726	0.3041003425
727	0.3040259705
728	0.3039265899
729	0.3037595821
730	0.3037105942
731	0.3036043702
732	0.3035214232
733	0.3033820922
734	0.3033194544
735	0.3032128517
736	0.3031052653
737	0.3030073157
738	0.3028911483
739	0.3028223666
740	0.3026667566
741	0.3026209404
742	0.3025136414
743	0.3024415093
744	0.3023053
745	0.3022001961
746	0.3021172609
747	0.3019974662
748	0.3018920777
749	0.3016972547
750	0.3016273104
751	0.3015598789
752	0.301416633
753	0.3013543418
754	0.3011896706
755	0.3010952838
756	0.3010605249
757	0.3008965791
758	0.3008273536
759	0.3006773651
760	0.3006253643
761	0.3004826101
762	0.3003566043
763	0.3002550664
764	0.3002014008
765	0.3001122675
766	0.3000032229
767	0.2998377886
768	0.2997104021
769	0.2996386692
770	0.2995365159
771	0.2994331248
772	0.2993726599
773	0.2992498769
774	0.2991628326
775	0.299102202
776	0.2990127586
777	0.2989661174
778	0.2988274001
779	0.2987790808
780	0.2986293676
781	0.2985338087
782	0.2984207244
783	0.298327256
784	0.2982983112
785	0.2982126704
786	0.2981159977
787	0.2980368219
788	0.2979444301
789	0.2978979424
790	0.2977397755
791	0.2976631732
792	0.2975451271
793	0.2974354705
794	0.2972724317
795	0.2971882541
796	0.2970871478
797	0.296980242
798	0.2967838877
799	0.2966705913
800	0.2965884907
801	0.2965282102
802	0.2964251974
803	0.2963630692
804	0.29623439
805	0.2961760448
806	0.2961381594
807	0.296111412
808	0.2959373651
809	0.2958638422
810	0.2957528406
811	0.2956141729
812	0.2955575173
813	0.2953621673
814	0.2952994384
815	0.2951970298
816	0.2951780694
817	0.295080973
818	0.2949854165
819	0.2949273516
820	0.2948337018
821	0.2947735377
822	0.2945951799
823	0.2945392015
824	0.2944694847
825	0.2944256703
826	0.2943552187
827	0.2942589513
828	0.2942160032
829	0.2940668538
830	0.2939898326
831	0.2938691326
832	0.2937808176
833	0.2936659933
834	0.2935856821
835	0.293457576
836	0.2934052938
837	0.293331478
838	0.2931976267
839	0.2931340379
840	0.2930288828
841	0.292877853
842	0.292792718
843	0.29267713
844	0.2925977698
845	0.2925921838
846	0.2925466781
847	0.2924330623
848	0.2922984905
849	0.2922118839
850	0.2921151254
851	0.2919729075
852	0.291932913
853	0.2918818759
854	0.2918792202
855	0.291773481
856	0.2916994566
857	0.2915975881
858	0.2915248208
859	0.2914573604
860	0.2913667794
861	0.2913026908
862	0.291170763
863	0.2911121671
864	0.2909418825
865	0.2908434563
866	0.290781016
867	0.2906283615
868	0.2905651378
869	0.2904478604
870	0.2903520762
871	0.2902728771
872	0.2901444304
873	0.2900109205
874	0.2898929214
875	0.289742412
876	0.2896048469
877	0.2894975408
878	0.2893404287
879	0.2892746273
880	0.2891183133
881	0.2890474514
882	0.2889923506
883	0.2888934823
884	0.2887945187
885	0.2887161397
886	0.2885525057
887	0.2884965905
888	0.2884103456
889	0.2882935226
890	0.2881950468
891	0.2881218246
892	0.2880593944
893	0.2879804956
894	0.2878806288
895	0.2878038752
896	0.2877255027
897	0.2875470382
898	0.2874123002
899	0.287266072
900	0.2872079576
901	0.2871456117
902	0.2870397136
903	0.2869957225
904	0.2868760658
905	0.2867633008
906	0.2867035949
907	0.2866761602
908	0.2865900028
909	0.2865273261
910	0.2864600772
911	0.2863893808
912	0.2863518563
913	0.2863145323
914	0.2862644452
915	0.28619068
916	0.2861136209
917	0.2859958234
918	0.2859266338
919	0.2858520933
920	0.2857406953
921	0.2856783252
922	0.2855719781
923	0.2855252788
924	0.2854154955
925	0.2853271633
926	0.2852598712
927	0.2851039114
928	0.2849622925
929	0.2849078937
930	0.2847991533
931	0.2847675796
932	0.2846306265
933	0.2844090169
934	0.2842895371
935	0.2841635448
936	0.2840438776
937	0.2839467248
938	0.2838050153
939	0.283751124
940	0.2836457372
941	0.2836009954
942	0.2835471305
943	0.2834515211
944	0.2834325988
945	0.2833722688
946	0.2832926511
947	0.2832345155
948	0.2831823794
949	0.2830919924
950	0.2829403556
951	0.2828330483
952	0.2827869153
953	0.282704354
954	0.2826813705
955	0.2826121913
956	0.2825484436
957	0.2824438112
958	0.2823492994
959	0.2822737944
960	0.2822169417
961	0.2821326819
962	0.2821085505
963	0.2820228352
964	0.2819453914
965	0.2818796292
966	0.2817386755
967	0.2815933106
968	0.2815083369
969	0.2814640339
970	0.2813943964
971	0.2813110719
972	0.2812578076
973	0.2811679914
974	0.2811274535
975	0.2810399223
976	0.2809485937
977	0.2808964246
978	0.2808278193
979	0.2807451738
980	0.2806662852
981	0.2805878857
982	0.2804865067
983	0.2804316107
984	0.2803797489
985	0.2803463579
986	0.2803095612
987	0.2802175418
988	0.2801554104
989	0.2800339002
990	0.2799203535
991	0.2798317893
992	0.2797469014
993	0.2796530236
994	0.2796085834
995	0.2794630369
996	0.279318524
997	0.2792584957
998	0.2791592811
999	0.2791176257
